2019-04-25 18:50:38 [Thread-33] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:38 [Thread-32] INFO  ResidentDAO:196 - Impossible to get residents datas from BDD org.postgresql.util.PSQLException
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:166 - Response send to client
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:38 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:131 - Request Type accepted by server
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:161 - Request received on server
2019-04-25 18:50:38 [Thread-34] INFO  ResidentDAO:196 - Impossible to get residents datas from BDD org.postgresql.util.PSQLException
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:166 - Response send to client
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:39 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:39 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:39 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:40 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:40 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:40 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:41 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:41 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:41 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:41 [Thread-37] INFO  RequestHandler:67 - Launch of treatement of client connection
